query,lat,lon,lat_min,lat_max,lon_min,lon_max
Salesforce Transit Center Bay 30 (50030) San Francisco,37.7897728,-122.3958157,37.7897228,37.7898228,-122.3958657,-122.3957657
Posey Tube Alameda,37.795018,-122.2724944,37.7874396,37.796298,-122.2766389,-122.271712
near home CA USA,NA,NA,NA,NA,NA,NA
Downtown CA USA,34.0428494,-118.2476732,34.0147136,34.0653505,-118.2739742,-118.2229172
n/a CA USA,34.2727885,-119.2609533,34.2727385,34.2728385,-119.2610033,-119.2609033
N/A CA USA,34.2727885,-119.2609533,34.2727385,34.2728385,-119.2610033,-119.2609033
Bay Fair BART Station (59933) San Leandro,37.696621,-122.125583,37.696571,37.696671,-122.125633,-122.125533
N/A CA USA,34.2727885,-119.2609533,34.2727385,34.2728385,-119.2610033,-119.2609033
12th and broadway Oakland,40.1236518,-88.2076268,40.1236018,40.1237018,-88.2076768,-88.2075768
N/A CA USA,34.2727885,-119.2609533,34.2727385,34.2728385,-119.2610033,-119.2609033
Solano and Calusa Berkeley,NA,NA,NA,NA,NA,NA
NA CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
Clinic San Leandro,37.7158025,-122.1429144,37.7157525,37.7158525,-122.1429644,-122.1428644
Hilltop Mall CA USA,37.9806212,-122.32844102727108,37.9780757,37.9833442,-122.3326542,-122.3242347
NA CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
Richmond bart Richmond,37.9364829,-122.3538432,37.9364329,37.9365329,-122.3538932,-122.3537932
San Pablo and Gavin Ave CA USA,NA,NA,NA,NA,NA,NA
Grand Av and Harrison St (51099) Oakland,37.8108208,-122.2626986,37.8107708,37.810870799999996,-122.2627486,-122.2626486
Seminary Rd:Seminary Ct CA USA,37.7694206,-122.1933981,37.7694206,37.7699968,-122.1940356,-122.1933981
NA CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
11th and broadway Oakland,40.1236518,-88.2076268,40.1236018,40.1237018,-88.2076768,-88.2075768
NA CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
test CA USA,35.2980033,-120.6203039,35.2979533,35.2980533,-120.6203539,-120.6202539
home CA USA,33.94439585,-116.92657529898611,33.9440214,33.9448514,-116.927155,-116.9259519
99 CA USA,36.67933185,-119.89630309952808,36.6778757,36.6807883,-119.898438,-119.894168
NA CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
Rockridge Bart Oakland,37.8441179,-122.2520062,37.8440679,37.8441679,-122.2520562,-122.2519562
euclid Berkeley,37.8886068,-122.2619567,37.8876753,37.8898655,-122.2625783,-122.2611006
NA CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
Durant Avenue and Dana Street CA USA,37.8674222,-122.2614165,37.8673722,37.8674722,-122.2614665,-122.2613665
Salesforce Transit Center (50030) San Francisco,37.78911945,-122.39686267625001,37.7875986,37.7906342,-122.3987888,-122.394954
"398 Carlson Blvd, Richmond CA USA",37.926358,-122.3392232448007,37.9260331,37.9266837,-122.3396524,-122.3387954
South Hayward BART Station (52345) Hayward,37.634601,-122.056703,37.634551,37.634651,-122.056753,-122.056653
13th: E 26th Oakland,NA,NA,NA,NA,NA,NA
Fremont Blvd and Bidwell Dr (56616) Fremont,37.5422665,-121.9763516,37.5422165,37.5423165,-121.9764016,-121.9763016
Park St and Santa Clara Av (52666) Alameda,NA,NA,NA,NA,NA,NA
Fremont BART Station (51008) Fremont,37.5574802,-121.9766318,37.5524802,37.5624802,-121.9816318,-121.9716318
Fruitvale BART Station (55533) Oakland,37.7757945,-122.2254889,37.7757445,37.7758445,-122.2255389,-122.2254389
Hesperian Blvd. CA USA,37.6171787,-122.0884276,37.6171787,37.6172798,-122.088488,-122.0884276
Lake Merrit Oakland,NA,NA,NA,NA,NA,NA
NA CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
Fairmont Dr and Hesperian Blvd (58715) San Leandro,37.701757,-122.1294262,37.701707,37.701807,-122.1294762,-122.1293762
NA CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
Shay dr CA USA,37.7733006,-122.1380516,37.7719941,37.7746736,-122.1382941,-122.1363375
na CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
San Leandro bart CA USA,37.7215513,-122.160358,37.7215013,37.7216013,-122.160408,-122.160308
Alvarado CA USA,37.9532262,-122.3204232,37.9531762,37.9532762,-122.3204732,-122.3203732
NA CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
Unknown CA USA,34.5494417,-118.4155787,34.5450062,34.5537803,-118.4178504,-118.4122833
NA CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
solans CA USA,43.5161828,-74.3718517,43.5151923,43.5166263,-74.3721275,-74.3712455
Shellmound St and Christie Av (52389) Emeryville,37.8374608,-122.2929685,37.8374108,37.8375108,-122.2930185,-122.2929185
NA CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
N/a CA USA,34.2727885,-119.2609533,34.2727385,34.2728385,-119.2610033,-119.2609033
20th and Broadway Oakland,40.1236518,-88.2076268,40.1236018,40.1237018,-88.2076768,-88.2075768
Kittredge: Shattuck Berkeley,37.8708679,-122.26857277247024,37.8706638,37.8710737,-122.2687547,-122.2684073
Hayward Bart Hayward,37.669764,-122.086625,37.669714,37.669814,-122.086675,-122.086575
Clarke:Davis San Leandro,37.7250471,-122.1589083,37.7249971,37.7250971,-122.1589583,-122.1588583
na CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
14th st Oakland,37.8082877,-122.2809286,37.8082239,37.8082877,-122.2809286,-122.2808092
Eastmont Transit Center Oakland,37.7687695,-122.1741488,37.7687195,37.7688195,-122.1741988,-122.1740988
Alice St and 2nd St (50292) Oakland,37.79442,-122.2715463,37.79437,37.79447,-122.2715963,-122.2714963
Eastmont Transit Center (55175) Oakland,37.7687695,-122.1741488,37.7687195,37.7688195,-122.1741988,-122.1740988
San Pablo Av and Tulare Av (58111) San Pablo,37.951463,-122.3329643,37.951413,37.951513,-122.3330143,-122.3329143
"Alameda, CA 94501 CA USA",37.7652076,-122.2416355,37.707621,37.800628,-122.340281,-122.223859
Panama and Glen CA USA,39.35149785,-76.69649331236177,39.3514077,39.3515881,-76.6966067,-76.6963799
Fremont BART Station (55477) Fremont,NA,NA,NA,NA,NA,NA
Harrison and Grand CA USA,39.162758,-123.22815416803385,39.1624429,39.1630564,-123.2288529,-123.2272677
Foothill Boulevard CA USA,37.7959158,-122.2507026,37.7948685,37.7970687,-122.2520042,-122.2495137
Bay Fair BART Station (53332) San Leandro,37.696621,-122.125583,37.696571,37.696671,-122.125633,-122.125533
Downtown Berkeley Berkeley,37.8701007,-122.2681385,37.8651007,37.8751007,-122.2731385,-122.2631385
Warmsprings BART Station (52057) Fremont,NA,NA,NA,NA,NA,NA
E 18th St and 3rd Av (52288) Oakland,37.7997266,-122.2523001,37.7996766,37.7997766,-122.2523501,-122.2522501
San Leandro BART Station (53331) San Leandro,37.7215513,-122.160358,37.7215013,37.7216013,-122.160408,-122.160308
na na,44.5349559,4.0038687,44.5349059,44.5350059,4.0038187,4.0039187
east oakland Oakland,40.991823499999995,-80.36693711903877,40.9861504,40.997277,-80.380446,-80.352874
didn't remember CA USA,NA,NA,NA,NA,NA,NA
Fremont CA USA,37.5482697,-121.988571,37.4539501,37.6066739,-122.1489115,-121.8701128
1st Av Pl and International Blvd (55655) Oakland,NA,NA,NA,NA,NA,NA
Broadway & 6th CA USA,52.0353825,-1.8618609,52.0153825,52.0553825,-1.8818609,-1.8418609
N/A CA USA,34.2727885,-119.2609533,34.2727385,34.2728385,-119.2610033,-119.2609033
International blvd: 54th ST Oakland,NA,NA,NA,NA,NA,NA
1550 Hopkins CA USA,33.5455918,-117.6470203,33.5455918,33.5458863,-117.6471447,-117.6470203
Foothill Blvd and 46th Av (Fremont High School) (53655) Oakland,NA,NA,NA,NA,NA,NA
Mission Blvd and Cedar St (55733) Fremont,37.5280353,-121.9186593,37.5279853,37.5280853,-121.9187093,-121.9186093
Derby Street and Claremont CA USA,37.8625009,-122.2470742,37.8624475,37.8625472,-122.2479568,-122.2460265
62nd&amp;Market CA USA,40.626472,-73.996895,40.621472,40.631472,-74.001895,-73.991895
Appian Way and Valley View Rd (57701) El Sobrante,37.9774993,-122.2951639,37.9774493,37.9775493,-122.2952139,-122.2951139
Mission Blvd and Harder Rd (59009) Fremont,NA,NA,NA,NA,NA,NA
Mission Blvd and Harder Rd (59009) Fremont,NA,NA,NA,NA,NA,NA
NA NA,44.5349559,4.0038687,44.5349059,44.5350059,4.0038187,4.0039187
50353 CA USA,37.4651188,-122.1584894,37.4650688,37.4651688,-122.1585394,-122.1584394
University Av and Shattuck Av (50444) Berkeley,37.8721194,-122.2679845,37.8720694,37.8721694,-122.2680345,-122.2679345
International Blvd and Seminary Av (59990) Oakland,37.765134,-122.1993023,37.765084,37.765184,-122.1993523,-122.1992523
Point Pinole Business Park (58350) Richmond,37.9966206,-122.3485642,37.9965706,37.9966706,-122.3486142,-122.3485142
Broadway and 11th Oakland,37.8148998,-122.2645082,37.8148385,37.8152489,-122.2645461,-122.2642924
98th and International Oakland,37.7440343,-122.1704541,37.7439843,37.7440843,-122.1705041,-122.1704041
"Target 1555 40th St Emeryville, CA 94608 CA USA",37.828343849999996,-122.28993368192673,37.8278179,37.8289323,-122.2907911,-122.2890767
Fitzgerald Pinole Plaza Pinole,37.9910729,-122.3057532,37.99104,37.991164499999996,-122.3058997,-122.30542
N/A CA USA,34.2727885,-119.2609533,34.2727385,34.2728385,-119.2610033,-119.2609033
